,name,skills,ratings,level
35,Introduction to Statistics," General Statistics, Probability & Statistics, Statistical Analysis, Critical Thinking, Basic Descriptive Statistics, Data Analysis, Statistical Tests, Mathematics, Probability Distribution, Problem Solving",4.6,Beginner Â· Course Â· 1 - 3 Months
36,Prepare Data for Exploration," Data Management, Data Analysis, Databases, Microsoft Excel, SQL, Spreadsheet Software",4.8,Beginner Â· Course Â· 1 - 3 Months
37,AI Product Management," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Probability & Statistics, Regression, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design, Data Analysis, Data Mining, Deep Learning, Project Management, Algorithms, Data Science, Leadership and Management",4.6,Beginner Â· Specialization Â· 3 - 6 Months
38,What is Data Science?," Big Data, Data Analysis, Data Mining, Data Science, Deep Learning, Machine Learning, Regression, Writing",4.7,Beginner Â· Course Â· 1 - 4 Weeks
39,Learn SQL Basics for Data Science," Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Design, Business Analysis, Extract, Transform, Load, Critical Thinking, Data Analysis Software, Apache, Data Architecture, Distributed Computing Architecture, Statistical Tests, Python Programming, Data Science",4.6,Beginner Â· Specialization Â· 3 - 6 Months
40,Introduction to Data Analytics," Data Analysis, Data Management, Data Structures, Data Visualization, Databases, Python Programming, SQL, Big Data, Data Mining, Data Science, NoSQL, R Programming, Microsoft Excel",4.8,Beginner Â· Course Â· 1 - 3 Months
41,Process Data from Dirty to Clean," Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel",4.8,Beginner Â· Course Â· 1 - 3 Months
42,Introduction to Artificial Intelligence (AI)," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Computational Thinking, Data Science",4.7,Beginner Â· Course Â· 1 - 4 Weeks
43,Tableau Business Intelligence Analyst," Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Leadership and Management, Project Management, Tableau Software",4.7,Beginner Â· Professional Certificate Â· 3 - 6 Months
44,Generative Adversarial Networks (GANs)," Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Deep Learning, Machine Learning Software, Statistical Programming, Computer Vision, Computer Programming, Human Learning, General Statistics, Probability & Statistics, Problem Solving",4.7,Intermediate Â· Specialization Â· 1 - 3 Months
45,Microsoft Azure Data Engineering Associate (DP-203)," Data Management, Microsoft Azure, Extract, Transform, Load, Cloud Computing, Big Data, Data Warehousing, Cloud-Based Integration, Cloud Storage, Data Architecture, Cloud Engineering, Cloud Platforms, Databases, SQL, Data Analysis, Cloud Applications, Data Structures, Distributed Computing Architecture, Cloud Management, Warehouse Management, Data Model, Leadership and Management, Store Management, Continuous Delivery, Continuous Integration, Operational Analysis, Python Programming, Accounting",4.4,Intermediate Â· Professional Certificate Â· 3 - 6 Months
46,AI for Medicine," Machine Learning, Machine Learning Algorithms, Deep Learning, Python Programming, Artificial Neural Networks, Statistical Programming, Probability & Statistics",4.7,Intermediate Â· Specialization Â· 1 - 3 Months
47,Genomic Data Science," Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Data Analysis Software, Algorithms, Computer Programming Tools, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Problem Solving, Statistical Programming, Experiment, Correlation And Dependence",4.5,Intermediate Â· Specialization Â· 3 - 6 Months
48,Reinforcement Learning," Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Decision Making, Probability & Statistics, Probability Distribution",4.7,Intermediate Â· Specialization Â· 3 - 6 Months
49,"Unsupervised Learning, Recommenders, Reinforcement Learning"," Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Mathematics, Reinforcement Learning, Tensorflow",4.9,Beginner Â· Course Â· 1 - 4 Weeks
50,Analyze Data to Answer Questions," Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",4.6,Beginner Â· Course Â· 1 - 4 Weeks
51,Data Science," R Programming, Data Analysis, Statistical Programming, Statistical Analysis, Computer Programming, Exploratory Data Analysis, General Statistics, Problem Solving, Probability & Statistics, Computer Programming Tools, Critical Thinking, Programming Principles, Statistical Tests, Data Management, Data Structures, Statistical Machine Learning, Basic Descriptive Statistics, Algorithms, Data Model, Human Learning, Machine Learning, Machine Learning Algorithms, Process Analysis, Correlation And Dependence, Data Visualization, Data Visualization Software, Plot (Graphics), Regression, Computer Graphics, Interactive Data Visualization, Applied Machine Learning, Big Data, Computational Thinking, Data Mining, Estimation, Extract, Transform, Load, Probability Distribution, Databases, Machine Learning Software, Communication, Computer Graphic Techniques, Knitr, Natural Language Processing, Visualization (Computer Graphics), Product Development, Web Development",4.5,Beginner Â· Specialization Â· 3 - 6 Months
52,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization"," Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,Intermediate Â· Course Â· 1 - 4 Weeks
53,TensorFlow: Advanced Techniques," Deep Learning, Machine Learning, Tensorflow, Artificial Neural Networks, Applied Machine Learning, Python Programming, Machine Learning Algorithms, Human Learning, Computer Vision, Computer Programming, Network Model, Machine Learning Software, Network Architecture, Training, Visualization (Computer Graphics), Strategy",4.8,Intermediate Â· Specialization Â· 3 - 6 Months
54,AI for Good," Artificial Neural Networks, Computer Vision, Exploratory Data Analysis, Machine Learning, Natural Language Processing, Python Programming",4.8,Beginner Â· Specialization Â· 1 - 3 Months
55,Data Science: Foundations using R," R Programming, Data Analysis, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Basic Descriptive Statistics, Computational Thinking, Big Data, Data Mining, Data Visualization, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics)",4.6,Beginner Â· Specialization Â· 3 - 6 Months
56,Data Analysis with R Programming," R Programming, Data Analysis, Computer Programming, Data Visualization, SQL",4.8,Beginner Â· Course Â· 1 - 3 Months
57,Excel Basics for Data Analysis," Microsoft Excel, Spreadsheet Software, Data Analysis, Data Science",4.8,Beginner Â· Course Â· 1 - 3 Months
58,Mathematics for Machine Learning," Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Algorithms, Applied Machine Learning, Differential Equations, Applied Mathematics, Problem Solving, Statistical Analysis, Data Visualization, Dimensionality Reduction, Computer Programming Tools, Regression",4.6,Beginner Â· Specialization Â· 3 - 6 Months
59,Applied Data Science with R," Data Analysis, R Programming, Computer Programming, Statistical Programming, Data Management, Data Visualization, Databases, Exploratory Data Analysis, Statistical Analysis, Data Analysis Software, Data Structures, Plot (Graphics), Statistical Visualization, Basic Descriptive Statistics, Interactive Data Visualization, SQL, Database Application, Extract, Transform, Load, General Statistics, Visualization (Computer Graphics), Programming Principles, Data Model, Database Administration, Database Design, Database Theory, Computer Programming Tools, Statistical Machine Learning, Visual Design, Data Science",4.5,Beginner Â· Specialization Â· 3 - 6 Months
60,Tools for Data Science," Data Science, R Programming, Cloud Computing, Computer Programming, IBM Cloud, Python Programming",4.5,Beginner Â· Course Â· 1 - 3 Months
61,Databases and SQL for Data Science with Python," Python Programming, Business Analysis, Computer Programming, Data Analysis, Data Management, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,Beginner Â· Course Â· 1 - 3 Months
62,Share Data Through the Art of Visualization," Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",4.6,Beginner Â· Course Â· 1 - 4 Weeks
63,Preparing for Google Cloud Certification: Cloud Data Engineer," Cloud Computing, Google Cloud Platform, Cloud Platforms, Data Management, Data Analysis Software, Databases, Big Data, Data Analysis, Computer Networking, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Communication, Algorithms, Apache, Leadership and Management, Network Security, Problem Solving, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow",4.6,Intermediate Â· Professional Certificate Â· 3 - 6 Months
64,Machine Learning with Python," Machine Learning, Algorithms, Data Analysis, Human Learning, Python Programming, Regression",4.7,Intermediate Â· Course Â· 1 - 3 Months
65,Geographic Information Systems  (GIS)," ArcGIS, Data Analysis, Data Visualization, GIS Software, Spatial Analysis, Spatial Data Analysis, Data Visualization Software, Databases, Geovisualization, Interactive Data Visualization, Leadership and Management",4.8,Beginner Â· Specialization Â· 3 - 6 Months
66,Foundations of Data Science," Communication, Data Analysis, Planning, Project Management",4.7,Advanced Â· Course Â· 1 - 3 Months
67,Generative AI: Introduction and Applications,Not Available,4.6,Beginner Â· Course Â· 1 - 4 Weeks
68,Preparing  Data for Analysis with Microsoft Excel," Data Analysis, Microsoft Excel, Power BI",4.7,Beginner Â· Course Â· 1 - 4 Weeks
69,Foundations of Business Intelligence," Business Intelligence, Data Analysis, Leadership and Management, Strategy",4.7,Advanced Â· Course Â· 1 - 4 Weeks
70,Convolutional Neural Networks," Artificial Neural Networks, Computer Vision, Machine Learning, Applied Machine Learning, Deep Learning, Machine Learning Software, Machine Learning Algorithms, Network Model, Tensorflow, Network Architecture, Human Learning",4.9,Intermediate Â· Course Â· 1 - 4 Weeks
71,Sequence Models," Artificial Neural Networks, Deep Learning, Machine Learning, Natural Language Processing, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Computer Programming, Machine Learning Software, Tensorflow",4.8,Intermediate Â· Course Â· 1 - 4 Weeks
72,"Data Engineering, Big Data, and Machine Learning on GCP"," Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Data Management, Apache, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow",4.6,Intermediate Â· Specialization Â· 3 - 6 Months
73,Introduction to Machine Learning in Production," Machine Learning, Applied Machine Learning, Leadership and Management",4.8,Advanced Â· Course Â· 1 - 4 Weeks
74,Google Data Analytics Capstone: Complete a Case Study," Business Analysis, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, R Programming, SQL, Spreadsheet Software, Statistical Programming, Tableau Software",4.8,Beginner Â· Course Â· 1 - 4 Weeks
75,OpenAI GPTs: Creating Your Own Custom AI Assistants,Not Available,Not Available,Beginner Â· Course Â· 1 - 4 Weeks
76,Structuring Machine Learning Projects," Applied Machine Learning, Data Analysis, Data Model, Deep Learning, Exploratory Data Analysis, Machine Learning, Machine Learning Algorithms, Organizational Development, Process Analysis, Strategy, Human Learning",4.8,Beginner Â· Course Â· 1 - 4 Weeks
77,Bayesian Statistics," Probability & Statistics, Bayesian Statistics, Probability Distribution, General Statistics, Statistical Analysis, R Programming, Statistical Programming, Mathematics, Regression, Data Analysis, Estimation, Statistical Tests, Machine Learning, Markov Model, Forecasting",4.6,Intermediate Â· Specialization Â· 3 - 6 Months
78,Generative AI: Prompt Engineering Basics,Not Available,4.8,Beginner Â· Course Â· 1 - 4 Weeks
79,Machine Learning on Google Cloud," Machine Learning, Applied Machine Learning, Google Cloud Platform, Human Learning, Machine Learning Software, Cloud Computing, Machine Learning Algorithms, Deep Learning, Cloud Platforms, Artificial Neural Networks, Feature Engineering, Exploratory Data Analysis, Tensorflow, Python Programming, Data Analysis, Data Visualization, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, SQL, Cloud API, Apache, Extract, Transform, Load",4.5,Intermediate Â· Specialization Â· 3 - 6 Months
80,Data Analysis with Python," Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Python Programming, Regression",4.7,Beginner Â· Course Â· 1 - 3 Months
81,Business Data Management and Communication," Business Analysis, Accounting, Data Management, General Accounting, Account Management, Data Analysis, Finance, Financial Accounting, Financial Management, Leadership and Management, Accounts Payable and Receivable, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Management Accounting, Business Intelligence, Cost Accounting, R Programming, Communication, Data Visualization, Interactive Data Visualization, Statistical Programming, Big Data, Data Visualization Software, Visual Design, Visualization (Computer Graphics), Business Communication, Storytelling, Computer Programming, Innovation, Strategy",4.7,Intermediate Â· Specialization Â· 3 - 6 Months
82,Natural Language Processing with Classification and Vector Spaces," Machine Learning, Natural Language Processing, Probability & Statistics, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Linear Algebra, Mathematics, Statistical Machine Learning",4.6,Intermediate Â· Course Â· 1 - 4 Weeks
83,Applied Data Science with Python," Python Programming, Data Analysis, Computer Programming, Machine Learning, Algorithms, Applied Machine Learning, Data Mining, Machine Learning Algorithms, Exploratory Data Analysis, Statistical Programming, Data Management, Extract, Transform, Load, Natural Language Processing, Critical Thinking, Statistical Machine Learning, Data Structures, Graph Theory, Network Analysis, Human Learning, Data Visualization, Network Model, Data Analysis Software, Regression, Computer Networking, General Statistics, Network Architecture, Plot (Graphics), Visualization (Computer Graphics), Computer Graphics",4.5,Intermediate Â· Specialization Â· 3 - 6 Months
84,Python Project for Data Science," Python Programming, Computer Programming, Data Analysis, Data Science",4.5,Intermediate Â· Course Â· 1 - 4 Weeks
85,Get Started with Python," Computer Programming, Data Analysis, Data Visualization, Python Programming",4.8,Advanced Â· Course Â· 1 - 3 Months
86,Meta Data Analyst," Probability & Statistics, General Statistics, Business Analysis, Data Analysis, Statistical Analysis, Basic Descriptive Statistics, Experiment, Probability Distribution, Regression, Statistical Tests, Communication, Computer Programming, Data Management, Data Visualization, Databases, Marketing, Python Programming, SQL, Statistical Programming, Storytelling, Tableau Software",4.8,Beginner Â· Professional Certificate Â· 3 - 6 Months
87,Advanced Data Science with IBM," Machine Learning, Python Programming, Statistical Programming, Data Management, Machine Learning Algorithms, Deep Learning, Process Analysis, Data Analysis, Apache, Human Learning, Machine Learning Software, Applied Machine Learning, Artificial Neural Networks, Feature Engineering, Application Development, Data Architecture, Probability & Statistics, Cloud Computing, Extract, Transform, Load, Statistical Machine Learning, General Statistics, Basic Descriptive Statistics, SQL, Computer Programming, Tensorflow",4.3,Advanced Â· Specialization Â· 3 - 6 Months
88,"GIS, Mapping, and Spatial Analysis"," ArcGIS, Data Analysis, Data Visualization, Geovisualization, Spatial Analysis, Spatial Data Analysis, GIS Software, Data Analysis Software, Data Visualization Software, Data Model, Data Management, Databases, Statistical Analysis, Mergers & Acquisitions",4.8,Beginner Â· Specialization Â· 3 - 6 Months
89,Data Visualization with Tableau," Data Visualization, Data Analysis, Data Analysis Software, Data Visualization Software, Tableau Software, Business Analysis, Business Intelligence, Statistical Visualization, Exploratory Data Analysis, Interactive Data Visualization, Interactive Design, Software Visualization, Storytelling, Visual Design, Visualization (Computer Graphics), Plot (Graphics), Computer Graphics",4.5,Beginner Â· Specialization Â· 3 - 6 Months
90,Data Science Methodology," Data Science, Data Analysis, Data Model, Machine Learning, Python Programming, Statistical Machine Learning, Data Mining",4.6,Beginner Â· Course Â· 1 - 4 Weeks
91,Data Analysis with R," General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Statistical Tests, Probability Distribution, R Programming, Statistical Programming, Basic Descriptive Statistics, Bayesian Statistics, Exploratory Data Analysis, Plot (Graphics), Problem Solving, Critical Thinking, Correlation And Dependence, Regression, Bayesian Network, Computer Programming",4.7,Beginner Â· Specialization Â· 3 - 6 Months
92,Data Visualization and Dashboards with Excel and Cognos," Data Visualization, Plot (Graphics), Microsoft Excel, Statistical Visualization, Business Analysis, Data Analysis, Data Visualization Software, Interactive Data Visualization, Spreadsheet Software",4.7,Beginner Â· Course Â· 1 - 4 Weeks
