,course_name,skills,ratings,difficulty,certification_type
10,Deep Learning," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,Intermediate,Specialization
11,Data Analysis and Visualization Foundations," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,Beginner,Specialization
12,AI Foundations for Everyone," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Natural Language Processing, Human Computer Interaction, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, User Experience, Computer Programming, Data Science",4.7,Beginner,Specialization
13,Prompt Engineering," Creativity, Data Analysis, Problem Solving, Writing",4.8,Beginner,Specialization
14,Google Advanced Data Analytics," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",4.7,Advanced,Professional
15,Generative AI Fundamentals," Business Transformation, Machine Learning",4.7,Beginner,Specialization
16,Generative AI for Data Analysts, Data Analysis,4.7,Intermediate,Specialization
17,Generative AI for Data Scientists," Data Analysis, Data Science",4.7,Intermediate,Specialization
18,"Foundations: Data, Data, Everywhere"," Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",4.8,Beginner,Course
19,IBM AI Engineering," Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Mathematics, Computer Vision, Apache, Big Data, Mathematical Theory & Analysis, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Data Science",4.6,Intermediate,Professional
20,Supervised Machine Learning: Regression and Classification," Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",4.9,Beginner,Course
21,AI in Healthcare," Machine Learning, Leadership and Management, Data Analysis, Data Mining",4.7,Beginner,Specialization
22,Generative AI for Everyone," Strategy, Writing",4.8,Beginner,Course
23,Machine Learning Engineering for Production (MLOps)," Machine Learning, Applied Machine Learning, Python Programming, Statistical Programming, Tensorflow, DevOps, Devops Tools, Exploratory Data Analysis, Feature Engineering, Machine Learning Software, Probability & Statistics, Cloud Computing, Deep Learning, Google Cloud Platform, Other Cloud Platforms and Tools, Performance Management, Kubernetes, Leadership and Management",4.7,Advanced,Specialization
24,DeepLearning.AI TensorFlow Developer," Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Network Model, Statistical Machine Learning, Statistical Analysis",4.7,Intermediate,Professional
25,Prompt Engineering for ChatGPT," Creativity, Problem Solving, Writing",4.8,Beginner,Course
26,Natural Language Processing," Machine Learning, Natural Language Processing, Python Programming, Statistical Programming, Artificial Neural Networks, Probability & Statistics, Statistical Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Human Learning, Linear Algebra",4.6,Intermediate,Specialization
27,Ask Questions to Make Data-Driven Decisions," Business Communication, Data Analysis, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data",4.7,Beginner,Course
28,Google Business Intelligence," Business Intelligence, Data Analysis, Data Management, Data Model, Data Visualization, Extract, Transform, Load, Leadership and Management, Strategy, Tableau Software",4.7,Advanced,Professional
29,Neural Networks and Deep Learning," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computational Logic, Computer Programming, Network Architecture, Calculus, Human Learning, Regression, Linear Algebra, Mathematics",4.9,Intermediate,Course
30,Advanced Learning Algorithms," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Python Programming",4.9,Beginner,Course
31,IBM Machine Learning," Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, Statistical Analysis, Regression, Deep Learning, General Statistics, Python Programming, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Dimensionality Reduction, Statistical Tests, Reinforcement Learning, Data Structures, Network Model, Tensorflow",4.6,Intermediate,Professional
32,"Python for Data Science, AI & Development"," Python Programming, Computer Programming, Data Analysis",4.6,Beginner,Course
33,IBM Introduction to Machine Learning," Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Python Programming, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Statistical Tests, Data Structures",4.6,Intermediate,Specialization
34,Business Analytics," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, People Development, Collaboration, Finance, Regulations and Compliance",4.6,Beginner,Specialization
35,Prepare Data for Exploration," Data Management, Data Analysis, Databases, Microsoft Excel, SQL, Spreadsheet Software",4.8,Beginner,Course
36,Introduction to Statistics," General Statistics, Probability & Statistics, Statistical Analysis, Critical Thinking, Basic Descriptive Statistics, Data Analysis, Statistical Tests, Mathematics, Problem Solving, Statistical Visualization",4.6,Beginner,Course
37,What is Data Science?," Big Data, Data Analysis, Data Mining, Data Science, Deep Learning, Machine Learning, Regression, Writing",4.7,Beginner,Course
38,AI Product Management," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Probability & Statistics, Regression, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design, Data Analysis, Data Mining, Deep Learning, Project Management, Algorithms, Data Science, Leadership and Management",4.6,Beginner,Specialization
39,Introduction to Data Analytics," Data Analysis, Data Management, Data Structures, Data Visualization, Databases, Python Programming, Big Data, Data Mining, Data Science, NoSQL, R Programming, Microsoft Excel",4.8,Beginner,Course
40,Learn SQL Basics for Data Science," Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Design, Business Analysis, Extract, Transform, Load, Critical Thinking, Data Analysis Software, Apache, Computer Programming Tools, Data Architecture, Customer Analysis, Distributed Computing Architecture, Python Programming, Data Science",4.6,Beginner,Specialization
41,Introduction to Artificial Intelligence (AI)," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Natural Language Processing, Data Science",4.7,Beginner,Course
42,Tableau Business Intelligence Analyst," Business Analysis, Data Analysis, Data Architecture, Data Management, Data Visualization, Interactive Data Visualization, Leadership and Management, Project Management, Tableau Software",4.7,Beginner,Professional
43,Process Data from Dirty to Clean," Data Analysis, SQL, Spreadsheet Software, General Statistics, Databases, Extract, Transform, Load, Microsoft Excel",4.8,Beginner,Course
44,Applied Data Science with R," Data Analysis, R Programming, Computer Programming, Statistical Programming, Data Management, Data Visualization, Databases, Exploratory Data Analysis, Statistical Analysis, Data Analysis Software, Data Structures, Plot (Graphics), Statistical Visualization, Basic Descriptive Statistics, Interactive Data Visualization, SQL, Database Application, Extract, Transform, Load, General Statistics, Visualization (Computer Graphics), Programming Principles, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Visualization Software, Visual Design, Data Science",4.5,Beginner,Specialization
45,AI for Medicine," Machine Learning, Machine Learning Algorithms, Deep Learning, Python Programming, Artificial Neural Networks, Statistical Programming, Probability & Statistics, Natural Language Processing",4.7,Intermediate,Specialization
46,Data Science," R Programming, Data Analysis, Statistical Programming, Statistical Analysis, Computer Programming, Exploratory Data Analysis, General Statistics, Problem Solving, Probability & Statistics, Computer Programming Tools, Critical Thinking, Programming Principles, Statistical Tests, Data Management, Data Structures, Statistical Machine Learning, Basic Descriptive Statistics, Algorithms, Data Model, Human Learning, Machine Learning, Machine Learning Algorithms, Process Analysis, Correlation And Dependence, Data Visualization, Data Visualization Software, Plot (Graphics), Regression, Interactive Data Visualization, Applied Machine Learning, Big Data, Computational Thinking, Data Mining, Estimation, Extract, Transform, Load, Probability Distribution, Databases, Computer Graphics, Machine Learning Software, Communication, Computer Graphic Techniques, Knitr, Natural Language Processing, Visualization (Computer Graphics), Product Development, Web Development",4.5,Beginner,Specialization
47,Reinforcement Learning," Machine Learning, Reinforcement Learning, Algorithms, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Python Programming, Statistical Machine Learning, Statistical Programming, Artificial Neural Networks, Planning, Decision Making, Probability & Statistics",4.7,Intermediate,Specialization
48,Genomic Data Science," Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Algorithms, Computer Programming Tools, Data Analysis Software, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Problem Solving, Statistical Programming, Experiment, Correlation And Dependence",4.5,Intermediate,Specialization
49,Generative Adversarial Networks (GANs)," Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Python Programming, Deep Learning, Machine Learning Software, Statistical Programming, Computer Vision, Computer Programming, Human Learning, General Statistics, Probability & Statistics, Problem Solving",4.7,Intermediate,Specialization
50,"Unsupervised Learning, Recommenders, Reinforcement Learning"," Algorithms, Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Human Learning, Deep Learning, Machine Learning Software, Mathematics, Reinforcement Learning, Statistical Machine Learning",4.9,Beginner,Course
51,Data Science: Foundations using R," Data Analysis, R Programming, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Computational Thinking, Big Data, Data Mining, Data Visualization, Data Visualization Software, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics)",4.6,Beginner,Specialization
52,Analyze Data to Answer Questions," Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",4.6,Beginner,Course
53,Microsoft Azure Data Engineering Associate (DP-203)," Data Management, Microsoft Azure, Extract, Transform, Load, Cloud Computing, Big Data, Data Warehousing, Cloud-Based Integration, Cloud Storage, Data Architecture, Cloud Engineering, Cloud Platforms, Databases, SQL, Data Analysis, Data Structures, Distributed Computing Architecture, Cloud Management, Warehouse Management, Data Model, Leadership and Management, Continuous Delivery, NoSQL, Apache, Continuous Integration, Operational Analysis, Python Programming, Accounting",4.4,Intermediate,Professional
54,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization"," Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,Intermediate,Course
55,Excel Basics for Data Analysis," Microsoft Excel, Spreadsheet Software, Data Analysis, Data Science",4.8,Beginner,Course
56,Tools for Data Science," Data Science, R Programming, Cloud Computing, Computer Programming, IBM Cloud, Python Programming",4.5,Beginner,Course
57,TensorFlow: Advanced Techniques," Deep Learning, Machine Learning, Tensorflow, Artificial Neural Networks, Applied Machine Learning, Python Programming, Machine Learning Algorithms, Human Learning, Computer Vision, Computer Programming, Network Model, Machine Learning Software, Network Architecture, Training, Strategy",4.8,Intermediate,Specialization
58,Preparing for Google Cloud Certification: Cloud Data Engineer," Cloud Computing, Google Cloud Platform, Cloud Platforms, Data Management, Data Analysis Software, Databases, Big Data, Data Analysis, Computer Networking, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Communication, Algorithms, Apache, Business Analysis, Leadership and Management, Network Security, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow",4.6,Intermediate,Professional
59,Data Analysis with R Programming," R Programming, Data Analysis, Computer Programming, Data Visualization, SQL",4.8,Beginner,Course
60,AI for Good," Artificial Neural Networks, Computer Vision, Exploratory Data Analysis, Machine Learning, Natural Language Processing, Python Programming",4.8,Beginner,Specialization
61,Mathematics for Machine Learning," Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Computational Logic, Algorithms, Differential Equations, Problem Solving, Statistical Analysis, Dimensionality Reduction, Computer Programming Tools, Statistical Programming, Regression",4.6,Beginner,Specialization
62,Machine Learning with Python," Machine Learning, Algorithms, Data Analysis, Human Learning, Python Programming, Regression",4.7,Intermediate,Course
63,Databases and SQL for Data Science with Python," Python Programming, Business Analysis, Computer Programming, Data Analysis, Data Analysis Software, Data Management, Data Structures, Database Application, Databases, SQL, Cloud Computing, IBM Cloud",4.6,Beginner,Course
64,"Data Engineering, Big Data, and Machine Learning on GCP"," Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Data Management, Apache, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow",4.6,Intermediate,Specialization
65,Generative AI: Introduction and Applications,Not Available,4.6,Beginner,Course
66,Share Data Through the Art of Visualization," Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",4.6,Beginner,Course
67,Preparing  Data for Analysis with Microsoft Excel," Data Analysis, Microsoft Excel, Power BI",4.7,Beginner,Course
68,Foundations of Data Science," Communication, Data Analysis, Planning, Project Management",4.7,Advanced,Course
69,Introduction to Machine Learning in Production," Machine Learning, Applied Machine Learning, Leadership and Management",4.8,Advanced,Course
70,Geographic Information Systems  (GIS)," ArcGIS, Data Analysis, Data Visualization, GIS Software, Spatial Analysis, Spatial Data Analysis, Data Visualization Software, Databases, Geovisualization, Interactive Data Visualization, Leadership and Management",4.8,Beginner,Specialization
71,Foundations of Business Intelligence," Business Intelligence, Data Analysis, Leadership and Management, Strategy",4.7,Advanced,Course
72,Convolutional Neural Networks," Artificial Neural Networks, Computer Vision, Machine Learning, Applied Machine Learning, Deep Learning, Machine Learning Software, Machine Learning Algorithms, Network Model, Tensorflow, Network Architecture, Human Learning",4.9,Intermediate,Course
73,Generative AI: Prompt Engineering Basics,Not Available,4.8,Beginner,Course
74,Data Analysis with Python," Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Python Programming, Regression",4.7,Beginner,Course
75,Sequence Models," Artificial Neural Networks, Deep Learning, Machine Learning, Natural Language Processing, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Human Learning, Machine Learning Software, Linear Algebra",4.8,Intermediate,Course
76,Google Data Analytics Capstone: Complete a Case Study," Business Analysis, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, R Programming, SQL, Spreadsheet Software, Statistical Programming, Tableau Software",4.8,Beginner,Course
77,Structuring Machine Learning Projects," Applied Machine Learning, Data Analysis, Data Model, Deep Learning, Exploratory Data Analysis, Machine Learning, Organizational Development, Process Analysis, Strategy, Artificial Neural Networks, Human Learning",4.8,Beginner,Course
78,Bayesian Statistics," Probability & Statistics, Bayesian Statistics, Probability Distribution, General Statistics, Statistical Analysis, R Programming, Statistical Programming, Mathematics, Regression, Data Analysis, Estimation, Machine Learning, Markov Model, Forecasting",4.6,Intermediate,Specialization
79,Python Project for Data Science," Python Programming, Computer Programming, Data Analysis, Data Science",4.5,Intermediate,Course
80,Natural Language Processing with Classification and Vector Spaces," Machine Learning, Natural Language Processing, Probability & Statistics, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Computer Programming, Human Learning, Linear Algebra, Statistical Machine Learning",4.6,Intermediate,Course
81,Applied Data Science with Python," Python Programming, Data Analysis, Computer Programming, Machine Learning, Algorithms, Applied Machine Learning, Data Mining, Machine Learning Algorithms, Exploratory Data Analysis, Statistical Programming, Data Management, Extract, Transform, Load, Natural Language Processing, Critical Thinking, Statistical Machine Learning, Graph Theory, Network Analysis, Computer Programming Tools, Human Learning, Data Visualization, Network Model, Regression, Computer Networking, General Statistics, Network Architecture, Plot (Graphics), Computer Graphics",4.5,Intermediate,Specialization
82,Get Started with Python," Computer Programming, Data Analysis, Data Visualization, Python Programming",4.8,Advanced,Course
83,Machine Learning on Google Cloud," Machine Learning, Applied Machine Learning, Google Cloud Platform, Human Learning, Machine Learning Software, Cloud Computing, Machine Learning Algorithms, Deep Learning, Cloud Platforms, Artificial Neural Networks, Feature Engineering, Exploratory Data Analysis, Tensorflow, Python Programming, Data Analysis, Data Visualization, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, SQL, Cloud API, Apache, Extract, Transform, Load",4.5,Intermediate,Specialization
84,Advanced Data Science with IBM," Machine Learning, Python Programming, Statistical Programming, Data Management, Machine Learning Algorithms, Deep Learning, Process Analysis, Apache, Data Analysis, Human Learning, Machine Learning Software, Applied Machine Learning, Extract, Transform, Load, Artificial Neural Networks, Feature Engineering, Application Development, Data Architecture, Probability & Statistics, Cloud Computing, Statistical Machine Learning, General Statistics, Basic Descriptive Statistics, IBM Cloud, SQL, Computer Programming, Tensorflow",4.3,Advanced,Specialization
85,Business Data Management and Communication," Business Analysis, Accounting, Data Management, General Accounting, Account Management, Data Analysis, Finance, Financial Accounting, Financial Management, Leadership and Management, Accounts Payable and Receivable, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Management Accounting, Business Intelligence, Cost Accounting, R Programming, Communication, Data Visualization, Interactive Data Visualization, Statistical Programming, Big Data, Data Visualization Software, Visual Design, Visualization (Computer Graphics), Creativity, Plot (Graphics), Computer Programming, Innovation, Strategy",4.7,Intermediate,Specialization
86,Data Science Methodology," Data Science, Data Analysis, Data Model, Machine Learning, Python Programming, Statistical Machine Learning, Data Mining",4.6,Beginner,Course
87,"GIS, Mapping, and Spatial Analysis"," ArcGIS, Data Analysis, Data Visualization, Geovisualization, Spatial Analysis, Spatial Data Analysis, GIS Software, Data Analysis Software, Data Visualization Software, Data Management, Databases, Statistical Analysis, Visualization (Computer Graphics), Mergers & Acquisitions",4.8,Beginner,Specialization
88,Probabilistic Graphical Models," Bayesian Network, Probability & Statistics, General Statistics, Graph Theory, Probability Distribution, Bayesian Statistics, Markov Model, Correlation And Dependence, Machine Learning, Network Model, Mathematics, Human Learning, Algorithms",4.6,Advanced,Specialization
89,Data Visualization with Tableau," Data Visualization, Data Analysis, Data Analysis Software, Data Visualization Software, Tableau Software, Business Analysis, Business Intelligence, Statistical Visualization, Exploratory Data Analysis, Interactive Data Visualization, Interactive Design, Storytelling, Visual Design, Visualization (Computer Graphics), Plot (Graphics), Computer Graphics",4.5,Beginner,Specialization
90,SAS Programmer," SAS (Software), Data Analysis, Statistical Programming, Data Analysis Software, Computer Programming, Statistical Analysis, Programming Principles, Data Structures, Exploratory Data Analysis, Data Management, Databases, SQL, Process Analysis, Extract, Transform, Load, Problem Solving, Computational Logic",4.8,Beginner,Professional
91,Data Visualization and Dashboards with Excel and Cognos," Data Visualization, Plot (Graphics), Microsoft Excel, Statistical Visualization, Business Analysis, Data Analysis, Data Visualization Software, Interactive Data Visualization, Spreadsheet Software",4.7,Beginner,Course
92,Data Analysis with R," General Statistics, Probability & Statistics, Statistical Analysis, Data Analysis, Statistical Tests, Probability Distribution, R Programming, Statistical Programming, Basic Descriptive Statistics, Statistical Visualization, Bayesian Statistics, Exploratory Data Analysis, Plot (Graphics), Problem Solving, Critical Thinking, Correlation And Dependence, Regression, Bayesian Network, Computer Programming",4.7,Beginner,Specialization
93,SQL for Data Science," Critical Thinking, Data Analysis, Data Management, Database Administration, Database Design, Databases, Problem Solving, SQL, Computer Programming Tools, Data Model",4.6,Beginner,Course
94,Machine Learning for Trading," Financial Analysis, Machine Learning, Finance, Investment Management, Algorithms, Financial Management, Leadership and Management, Market Analysis, Risk Management, Strategy, Artificial Neural Networks, Deep Learning, Google Cloud Platform, Human Learning, Training, Cloud Computing, Reinforcement Learning, Python Programming",3.9,Intermediate,Specialization
95,Machine Learning Foundations for Product Managers," Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression, Applied Machine Learning, Data Analysis, Data Mining, Deep Learning, Algorithms, Data Science",4.6,Beginner,Course
96,Machine Learning Data Lifecycle in Production," Python Programming, Statistical Programming, Tensorflow, Exploratory Data Analysis, Feature Engineering, Machine Learning, Probability & Statistics",4.3,Advanced,Course
97,Data Visualization with Python," Python Programming, Computer Programming, Data Analysis, Data Visualization",4.5,Intermediate,Course
98,Microsoft Azure AI Fundamentals AI-900 Exam Prep," Machine Learning, Microsoft Azure, Machine Learning Software, Applied Machine Learning, Human Learning, Machine Learning Algorithms, Natural Language Processing, Computer Vision, Algorithms, Training, Cloud Computing, Human Computer Interaction, Regression",4.6,Beginner,Specialization
99,Harnessing the Power of Data with Power BI," Data Analysis, Extract, Transform, Load, Power BI",4.5,Beginner,Course
100,IBM AI Enterprise Workflow," Machine Learning, Data Analysis, Exploratory Data Analysis, Human Learning, Data Visualization, Algorithms, Dimensionality Reduction, Feature Engineering, Natural Language Processing, Python Programming, Business Process Management, Data Management, Data Structures, Statistical Programming, Strategy and Operations, Apache, Artificial Neural Networks, Data Science, Docker (Software)",4.3,Advanced,Specialization
101,Go Beyond the Numbers: Translate Data into Insights," Data Analysis, Data Visualization, Exploratory Data Analysis, Python Programming, Tableau Software",4.8,Advanced,Course
102,The Path to Insights: Data Models and Pipelines," Data Management, Data Model, Extract, Transform, Load",4.7,Advanced,Course
103,Trustworthy Generative AI, Problem Solving,4.8,Beginner,Course
104,Convolutional Neural Networks in TensorFlow," Machine Learning, Deep Learning, Machine Learning Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Human Learning, Tensorflow, Python Programming, Machine Learning Software",4.7,Intermediate,Course
105,Neuroscience and Neuroimaging," Statistical Programming, R Programming, Probability & Statistics, Data Management, Data Structures, Data Analysis, Statistical Analysis, Data Visualization, Visualization (Computer Graphics), General Statistics, Research and Design, Experiment, Correlation And Dependence, Mathematical Theory & Analysis, Process Analysis, Spatial Analysis, Spatial Data Analysis, Bioinformatics, Extract, Transform, Load, Computer Programming",4.6,Intermediate,Specialization
